battery_id,case,update_start_x,update_end_x,n_history_points,n_update_points,n_eval_points,rmse_soh,mae_soh,matched_no_update_rmse_soh,improvement_vs_no_update_percent
B0005,no_update,,0.8,108,0,41,0.035365474521858314,0.029585493309145342,0.035365474521858314,0.0
B0005,partial_sparse_update,0.7,0.8,108,4,41,0.0322578450126021,0.02603566311351114,0.035365474521858314,8.787184538794987
B0005,full_window_update,0.7,0.8,108,19,41,0.028149912365816633,0.022225650156230604,0.035365474521858314,20.402842754398684
B0006,no_update,,0.8,106,0,43,0.014051005642531445,0.01279786886445199,0.014051005642531445,0.0
B0006,partial_sparse_update,0.7,0.8,106,4,43,0.011297161431435592,0.009921932018258422,0.014051005642531445,19.598911858380816
B0006,full_window_update,0.7,0.8,106,19,43,0.01462040599896703,0.013026216071351276,0.014051005642531445,-4.052381522871565
B0007,no_update,,0.8,111,0,39,0.009358437824004496,0.006645549619410853,0.009358437824004496,0.0
B0007,partial_sparse_update,0.7,0.8,111,4,39,0.008090550642263768,0.005643551019559712,0.009358437824004496,13.548064384085373
B0007,full_window_update,0.7,0.8,111,18,39,0.006723079800561706,0.004842688605625365,0.009358437824004496,28.160234357523507
B0018,no_update,,0.8,87,0,30,0.035175199947939294,0.0326807087896263,0.035175199947939294,0.0
B0018,partial_sparse_update,0.7,0.8,87,4,30,0.0384310163412695,0.03566744531754727,0.035175199947939294,-9.255999676331454
B0018,full_window_update,0.7,0.8,87,15,30,0.042007889148937196,0.03893145414820458,0.035175199947939294,-19.424734503600703
